1. LATEST STORIES | Trump: Calls on Americans to resolve disputes peacefully | 1 hr 59 min ago | @FirstSquawk | 🟡 MEDIUM | NEUTRAL
2. LATEST STORIES | Trump: The First Lady, plus the Vice President, and all Cabinet members, are in perfect condition | 3 hr ago | @realDonaldTrump | 🟡 MEDIUM | NEUTRAL
3. LATEST STORIES | Shots fired during Trump press dinner; Suspect in custody after apparent shooting at Trump dinner | 3 hr ago | @zerohedge | 🟡 MEDIUM | NEUTRAL
4. LATEST STORIES | Global Inflation Scare: Chinese Exporters Hike Prices As Iran War Triggers Ethane Shortage, Plastics Crunch | 5 hr ago | zerohedge.com | 🔴 HIGH | GOLD BULLISH
5. LATEST STORIES | Lebanese News Agency: Series of Israeli airstrikes on southern Lebanon following Netanyahu's directive for attacks against Hezbollah | 8 hr ago | @FirstSquawk | ⚪ LOW | GOLD BULLISH
6. LATEST STORIES | Iranian media: It is expected that Araghchi will visit Pakistan again | 8 hr ago | @FirstSquawk | 🟡 MEDIUM | GOLD BULLISH
7. LATEST STORIES | Jerome Powell's final Fed press conference marks an end to an era | 9 hr ago | morningstar.com | 🔴 HIGH | NEUTRAL
8. LATEST STORIES | Trump: Just cancelled the trip of my representatives going to meet with the Iranians. We have all the cards, they have none! | 12 hr ago | @realDonaldTrump | 🔴 HIGH | GOLD BULLISH
9. LATEST STORIES | Some young Americans scale back dating as costs and apps add pressure, survey shows | 14 hr ago | cnbc.com | ⚪ LOW | NEUTRAL
10. LATEST STORIES | China first-quarter fiscal spending quickens as Beijing seeks to spur growth | 18 hr ago | channelnewsasia.com | ⚪ LOW | NEUTRAL
11. LATEST STORIES | Bank of England Preview: Vigilance | 23 hr ago | media.rabobank.com | ⚪ LOW | NEUTRAL
12. LATEST STORIES | Consumer sentiment at record low as Americans feel impact of war in Iran | 27 hr ago | finance.yahoo.com | 🔴 HIGH | GOLD BULLISH
13. LATEST STORIES | European Macro Weekly: Where will UK inflation peak? | 31 hr ago | mufgresearch.com | 🔴 HIGH | NEUTRAL
14. LATEST STORIES | Will he stay or will he go? With criminal probe over, Fed Chair Powell faces big decision | 32 hr ago | cnbc.com | 🔴 HIGH | NEUTRAL
15. LATEST STORIES | Ship suspected of cooperating with US military has been seized - Tasnim, citing Iranian Military | 32 hr ago | @financialjuice | 🟡 MEDIUM | GOLD BULLISH
